Time,Value
7135,94.8
7140,85.1
7145,85.1
7150,84.9
7155,84.9
7160,68.4
7165,87.3
7170,87.3
7175,87.3
7180,77.2
7185,77.2
7190,73.3
7195,73.3
7200,73.3
7205,55
7210,79.5
7215,84.6
7220,84.6
7225,64.7
7230,99.9
7235,99.9
7240,99.9
7245,93.3
7250,93.3
7255,72.9
7260,72.9
7265,83.5
7270,83.5
7275,83.5
7280,81
7285,90
7290,90
7295,75.6
7300,80.5
7305,80.5
7310,71.9
7315,98.1
7320,98.1
7325,65
7330,72.1
7335,74.7
7340,74.7
7345,89
7350,89
7355,89
7360,83.8
7365,83.8
7370,77.1
7375,77.1
7380,77.1
7385,72.8
7390,72.8
7395,93.2
7400,93.2
7405,67.3
7410,67.3
7415,78.1
7420,84
7425,84
7430,84
7435,77.9
7440,77.9
7445,67.9
7450,85.7
7455,85.7
7460,79.9
7465,79.9
7470,87.4
7475,87.4
7480,70.5
7485,70.5
7490,70.5
7495,90.5
7500,90.5
7505,90.5
7510,86.3
7515,86.3
7520,82.1
7525,105.9
7530,105.9
7535,105.9
7540,96.7
7545,96.7
7550,82.8
7555,143.4
7560,143.4
7565,72
7570,81.4
7575,81.4
7580,70.5
7585,70.5
7590,87.8
7595,88.5
7600,88.5
7605,75
7610,75
7615,79.1
7620,84.2
7625,84.2
7630,82.7
7635,82.7
7640,113.1
7645,113.1
7650,95.1
7655,95.1
7660,95.1
7665,93.3
7670,93.3
7675,77.4
7680,77.4
7685,77.4
7690,91.8
7695,91.8
7700,80.2
7705,98.1
7710,98.1
7715,76.3
7720,78.1
7725,78.1
7730,78.1
7735,87.1
7740,87.1
7745,87.1
7750,83.6
7755,83.6
7760,83.5
7765,83.5
7770,83.5
7775,83
7780,93.5
7785,93.5
7790,93.5
7795,92.2
7800,92.2
7805,81.7
7810,81.7
7815,81.7
7820,75.6
7825,75.6
7830,72.9
7835,85.6
7840,95.3
7845,95.3
7850,85.7
7855,85.7
7860,85.7
7865,106.7
7870,106.7
7875,111.6
7880,111.6
7885,129
7890,129
7895,87.2
7900,87.2
7905,87.2
7910,76.3
7915,76.3
7920,70.7
7925,70.7
7930,86
7935,86
7940,86
7945,84.3
7950,84.3
7955,67.9
7960,67.9
7965,79.9
7970,79.9
7975,75.3
7980,77.1
7985,80.1
7990,80.1
7995,80.1
8000,58.3
8005,60.9
8010,63.3
8015,114.3
8020,114.3
8025,109.6
8030,109.6
8035,109.6
8040,81.4
8045,81.5
8050,81.5
8055,81.5
8060,75.1
8065,75.1
8070,86.9
8075,86.9
8080,72.5
8085,84.2
8090,84.2
8095,84.2
8100,91.2
8105,91.2
8110,89.3
8115,89.3
